502,-1295,1295
627,1288,1288
632,1279,1279
105,-1279,1279
684,-1275,1275
491,-1271,1271
884,-1271,1271
393,-1264,1264
768,-1255,1255
588,1251,1251
321,-1243,1243
758,-1242,1242
634,1238,1238
154,1235,1235
420,1234,1234
436,-1234,1234
607,-1234,1234
792,-1234,1234
539,-1233,1233
450,-1232,1232
404,-1230,1230
398,-1228,1228
334,-1227,1227
272,-1225,1225
330,-1223,1223
531,1221,1221
411,1218,1218
177,1217,1217
624,-1214,1214
173,1206,1206
150,-1206,1206
552,1203,1203
752,1202,1202
717,1199,1199
615,1192,1192
55,-1192,1192
308,1191,1191
312,-1187,1187
642,-1186,1186
189,-1185,1185
261,1182,1182
248,1180,1180
518,1174,1174
554,1174,1174
710,1171,1171
80,1170,1170
523,1169,1169
703,-1168,1168
734,1167,1167
646,1163,1163
522,1156,1156
152,-1153,1153
732,-1152,1152
475,1148,1148
498,1147,1147
725,1147,1147
801,1147,1147
196,1146,1146
601,1146,1146
680,-1146,1146
73,-1145,1145
709,1143,1143
225,1132,1132
612,-1131,1131
331,1126,1126
84,1122,1122
271,-1122,1122
142,1118,1118
230,1114,1114
869,1110,1110
443,-1107,1107
903,-1106,1106
583,-1100,1100
401,-1097,1097
755,-1093,1093
528,1092,1092
849,1089,1089
887,-1088,1088
729,1087,1087
577,-1085,1085
369,1084,1084
465,1079,1079
46,-1075,1075
415,1073,1073
609,1072,1072
854,-1072,1072
317,1068,1068
93,-1068,1068
205,1066,1066
258,1064,1064
32,-1062,1062
775,-1062,1062
626,1061,1061
300,-1056,1056
143,1053,1053
836,1049,1049
878,-1046,1046
681,1044,1044
341,-1043,1043
851,1041,1041
611,1039,1039
419,-1039,1039
892,-1038,1038
656,1037,1037
873,1035,1035
145,-1035,1035
777,1032,1032
659,-1032,1032
586,1031,1031
344,1030,1030
862,-1025,1025
738,1022,1022
356,-1021,1021
220,1020,1020
915,-1019,1019
157,-1016,1016
132,1015,1015
141,1013,1013
885,-1013,1013
542,-1012,1012
741,1011,1011
663,-1011,1011
649,1010,1010
388,1008,1008
728,1006,1006
762,-1005,1005
773,-1004,1004
38,1002,1002
855,1002,1002
547,1000,1000
667,1000,1000
428,998,998
221,997,997
354,996,996
484,993,993
689,-989,989
307,988,988
144,-986,986
591,-984,984
311,-983,983
753,-970,970
357,-968,968
303,-964,964
513,-961,961
620,960,960
288,-959,959
389,953,953
304,952,952
242,-952,952
530,-946,946
167,940,940
715,939,939
829,-938,938
913,935,935
597,-935,935
283,934,934
859,-934,934
651,933,933
616,924,924
614,923,923
533,-923,923
133,-914,914
617,911,911
294,-902,902
807,900,900
188,895,895
713,893,893
917,889,889
504,-886,886
875,-883,883
18,880,880
723,878,878
871,-878,878
698,868,868
537,-866,866
780,-865,865
637,864,864
163,860,860
338,-860,860
822,856,856
442,852,852
479,-850,850
237,849,849
310,-848,848
2,-845,845
109,-841,841
675,-839,839
280,-836,836
571,834,834
69,-832,832
89,831,831
361,-830,830
204,828,828
912,827,827
696,826,826
893,-825,825
782,-822,822
332,817,817
34,-816,816
165,-815,815
618,814,814
670,813,813
147,-813,813
383,812,812
707,-811,811
639,-805,805
682,-804,804
708,-802,802
441,800,800
566,800,800
149,-799,799
252,-795,795
318,791,791
405,788,788
726,-783,783
186,-782,782
868,780,780
621,774,774
840,772,772
138,-772,772
418,-772,772
236,-768,768
339,-767,767
90,765,765
104,761,761
262,-760,760
565,-760,760
390,759,759
183,756,756
456,753,753
636,751,751
394,744,744
628,744,744
731,742,742
320,-741,741
594,-741,741
103,736,736
117,-733,733
314,731,731
440,730,730
843,729,729
691,-729,729
760,-721,721
641,719,719
891,718,718
470,-718,718
657,-717,717
135,-711,711
111,695,695
122,694,694
492,-694,694
733,-692,692
199,691,691
461,-690,690
662,683,683
223,681,681
454,681,681
424,-681,681
521,680,680
783,675,675
838,673,673
526,671,671
110,665,665
335,-663,663
821,-661,661
457,-656,656
839,654,654
212,-654,654
489,652,652
19,-651,651
640,-651,651
727,-649,649
164,-646,646
473,-646,646
638,-644,644
673,-644,644
403,643,643
417,641,641
197,-640,640
107,-639,639
422,635,635
511,633,633
536,629,629
168,626,626
278,626,626
567,624,624
146,-623,623
217,622,622
287,618,618
407,-618,618
482,-617,617
764,615,615
655,-615,615
367,613,613
486,612,612
471,600,600
763,-600,600
365,-596,596
508,591,591
499,-586,586
690,-586,586
653,584,584
414,581,581
834,-581,581
551,578,578
185,576,576
876,-562,562
730,-561,561
445,-559,559
478,-556,556
544,553,553
654,-553,553
746,551,551
722,-548,548
541,546,546
560,542,542
290,538,538
328,-536,536
557,-536,536
776,-534,534
814,-532,532
95,531,531
455,527,527
889,-527,527
402,-525,525
661,524,524
263,-523,523
844,-523,523
286,522,522
481,-521,521
506,-512,512
459,510,510
916,510,510
527,-510,510
702,508,508
291,-508,508
148,504,504
